parameter;Hindon;Kali;Krishni;Rainfall
EC value [microS/cm];1531.666667;809.6375;1239.666667;25.665
pH.1;7.75;7.626;7.375;6.785
Hard [mg/L];418.5;236.1;222;100.5
Alk [mg/L];638;240.3166667;223;53
Cl [mg/L];112;42.7;151.5;3.54009957
NO3 [mg/L];4.95;13.26666667;5.1;2.06845344
SO4 [mg/L];63;21.1;34;63.79252144
F [mg/L];;1.52;;
NO2 [mg/L];;;;
Na [mg/L];208;85.175;86;0.8851073
K [mg/L];56;29.75;28;0.575526976
Ca [mg/L];96;59.1;53.5;21.45413004
Mg [mg/L];43.5;22.25;20;30.3914551
NH4 [mg/L];;;;
Silica [mg/L];;;;5.385
COD [mg/L];418.3333333;78.1375;728;22.5
B  [µg/L];;2120;;
Al [µg/L];;;;
V [µg/L];;;;
Cr [µg/L];4261.666667;990.1033333;1629.1215;
Mn [µg/L];129;222.675;76.33;
Fe [µg/L];580.5;1581.025;495.7;108.5
Co [µg/L];;;;
Ni [µg/L];24;150.365;6.855;
Cu [µg/L];1425.8;105.03;2.896;
Zn [µg/L];441.5;190.8;38.26;
As [µg/L];;;;
Se [µg/L];;;;
Sr [µg/L];;;;
Cd [µg/L];2.15;33.46;3.205;
Ba [µg/L];;;;
Pb [µg/L];38.5;360.48;81.8945;45.5
U [µg/L];;;;
